id,title,year,genres,keywords,overview,director,cast,runtime,rating
1,The Shawshank Redemption,1994,Drama,prison hope friendship redemption wrongful conviction,A banker wrongly convicted of murder forms an unlikely friendship with a fellow inmate over decades in prison.,Frank Darabont,"Tim Robbins, Morgan Freeman",142,9.3
2,The Godfather,1972,Crime Drama,mafia family power loyalty betrayal,The aging patriarch of an organized crime dynasty transfers control to his reluctant son.,Francis Ford Coppola,"Marlon Brando, Al Pacino",175,9.2
3,Inception,2010,Sci-Fi Thriller,dreams heist mind-bending subconscious layered reality,A thief who steals corporate secrets through dream-sharing technology is given a chance to erase his past.,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt",148,8.8
4,Spirited Away,2001,Animation Fantasy,magic coming-of-age spirits courage wonder,A young girl wanders into a magical world of spirits and must find her way home while working in a bathhouse.,Hayao Miyazaki,"Rumi Hiiragi, Miyu Irino",125,8.6
5,La La Land,2016,Musical Romance,dreams jazz love ambition bittersweet,A pianist and an aspiring actress fall in love while pursuing their dreams in Los Angeles.,Damien Chazelle,"Ryan Gosling, Emma Stone",128,8.0
6,Parasite,2019,Thriller Drama,class inequality deception dark comedy tension,"A poor family schemes to become employed by a wealthy household, with devastating consequences.",Bong Joon-ho,"Song Kang-ho, Lee Sun-kyun",132,8.6
7,The Grand Budapest Hotel,2014,Comedy Drama,whimsical quirky adventure friendship stylish,A legendary concierge and his protege become entangled in a theft and murder involving a family fortune.,Wes Anderson,"Ralph Fiennes, Tony Revolori",99,8.1
8,Eternal Sunshine of the Spotless Mind,2004,Romance Sci-Fi,memory heartbreak love regret introspective,"A couple erases each other from their memories after a painful breakup, only to fall in love again.",Michel Gondry,"Jim Carrey, Kate Winslet",108,8.3
9,Mad Max: Fury Road,2015,Action Sci-Fi,chase survival wasteland adrenaline rebellion,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search of her homeland.",George Miller,"Tom Hardy, Charlize Theron",120,8.1
10,Amelie,2001,Romance Comedy,whimsical kindness quirky feel-good Paris,A shy Parisian waitress decides to change the lives of those around her for the better.,Jean-Pierre Jeunet,"Audrey Tautou, Mathieu Kassovitz",122,8.3
11,Whiplash,2014,Drama Music,obsession ambition mentorship pressure intensity,A young drummer enrolls at a music conservatory where his abusive instructor pushes him to the edge.,Damien Chazelle,"Miles Teller, J.K. Simmons",106,8.5
12,Interstellar,2014,Sci-Fi Drama,space time family sacrifice exploration emotional,A team of explorers travels through a wormhole in space to ensure humanity's survival.,Christopher Nolan,"Matthew McConaughey, Anne Hathaway",169,8.6
13,The Dark Knight,2008,Action Crime,chaos morality justice vigilante intense,"Batman faces the Joker, a criminal mastermind who plunges Gotham into anarchy.",Christopher Nolan,"Christian Bale, Heath Ledger",152,9.0
14,Little Miss Sunshine,2006,Comedy Drama,family dysfunction road-trip warmth feel-good,A dysfunctional family road-trips across the country to get their daughter to a beauty pageant.,Jonathan Dayton,"Abigail Breslin, Greg Kinnear",101,7.8
15,Blade Runner 2049,2017,Sci-Fi Neo-noir,identity dystopia atmospheric slow-burn philosophical,A young blade runner uncovers a secret that could plunge society into chaos.,Denis Villeneuve,"Ryan Gosling, Harrison Ford",164,8.0
16,Coco,2017,Animation Family,family music heritage grief celebration heartwarming,A boy is accidentally transported to the Land of the Dead and seeks his musical ancestor's blessing.,Lee Unkrich,"Anthony Gonzalez, Gael Garcia Bernal",105,8.4
17,Gone Girl,2014,Thriller Mystery,marriage deception twist psychological dark,A man becomes the prime suspect when his wife disappears on their anniversary.,David Fincher,"Ben Affleck, Rosamund Pike",149,8.1
18,The Secret Life of Walter Mitty,2013,Adventure Comedy,self-discovery adventure daydream travel inspiring,A daydreaming photo processor sets off on a real-world adventure to find a missing negative.,Ben Stiller,"Ben Stiller, Kristen Wiig",114,7.3
19,Her,2013,Romance Sci-Fi,loneliness technology love introspective melancholic,A lonely writer develops an unlikely relationship with an operating system designed to meet his needs.,Spike Jonze,"Joaquin Phoenix, Scarlett Johansson",126,8.0
20,Knives Out,2019,Mystery Comedy,whodunit family twist clever satirical,"A detective investigates the death of a patriarch of an eccentric, combative family.",Rian Johnson,"Daniel Craig, Ana de Armas",130,7.9
21,The Truman Show,1998,Drama Comedy,reality surveillance identity existential thought-provoking,A man discovers his entire life has been a constructed reality TV show.,Peter Weir,"Jim Carrey, Ed Harris",103,8.2
22,Pan's Labyrinth,2006,Fantasy Drama,dark fairy-tale war innocence mythic haunting,A young girl escapes into a mythical fantasy world amid the brutality of civil war Spain.,Guillermo del Toro,"Ivana Baquero, Sergi Lopez",118,8.2
23,Good Will Hunting,1997,Drama,genius therapy self-worth mentorship redemption,A janitor with a genius-level intellect must confront his troubled past with the help of a therapist.,Gus Van Sant,"Robin Williams, Matt Damon",126,8.3
24,Arrival,2016,Sci-Fi Drama,language communication aliens time grief cerebral,"A linguist is recruited to communicate with alien visitors, uncovering truths about time and loss.",Denis Villeneuve,"Amy Adams, Jeremy Renner",116,7.9
25,Before Sunrise,1995,Romance Drama,conversation connection travel wistful intimate,Two strangers meet on a train and spend one unforgettable night walking and talking in Vienna.,Richard Linklater,"Ethan Hawke, Julie Delpy",101,8.1
26,Get Out,2017,Horror Thriller,racism tension satire unsettling social-commentary,A young man uncovers a disturbing secret when he meets his white girlfriend's family.,Jordan Peele,"Daniel Kaluuya, Allison Williams",104,7.7
27,Chef,2014,Comedy Drama,food family passion feel-good road-trip,A chef who loses his restaurant job starts a food truck to reclaim his creative passion.,Jon Favreau,"Jon Favreau, John Leguizamo",114,7.3
28,The Prestige,2006,Mystery Thriller,obsession rivalry magic twist deception,Two rival magicians engage in a bitter competition that spirals into obsession and deceit.,Christopher Nolan,"Hugh Jackman, Christian Bale",130,8.5
29,Big Fish,2003,Fantasy Drama,storytelling father-son whimsical legacy nostalgic,A son tries to separate fact from fantastical fiction in his dying father's tall tales.,Tim Burton,"Ewan McGregor, Albert Finney",125,8.0
30,Moonlight,2016,Drama,identity coming-of-age tender poetic quiet,"A young Black man's journey to adulthood in Miami, exploring identity, sexuality and struggle.",Barry Jenkins,"Trevante Rhodes, Mahershala Ali",111,7.4
31,The Wolf of Wall Street,2013,Comedy Crime,excess greed hedonism satire chaotic,"A stockbroker's rise and fall amid corruption, excess and a hedonistic Wall Street lifestyle.",Martin Scorsese,"Leonardo DiCaprio, Jonah Hill",180,8.2
32,Up,2009,Animation Adventure,grief adventure friendship heartwarming loss,A grieving widower ties thousands of balloons to his house to fly to South America.,Pete Docter,"Edward Asner, Jordan Nagai",96,8.3
33,The Social Network,2010,Drama Biography,ambition betrayal technology sharp fast-paced,The founding of Facebook and the lawsuits that followed among Harvard classmates.,David Fincher,"Jesse Eisenberg, Andrew Garfield",120,7.8
34,Lost in Translation,2003,Drama Romance,loneliness connection melancholic quiet Tokyo,Two lonely Americans form an unlikely bond while navigating culture shock in Tokyo.,Sofia Coppola,"Bill Murray, Scarlett Johansson",102,7.7
35,Rear Window,1954,Mystery Thriller,suspense voyeurism classic tension claustrophobic,A wheelchair-bound photographer suspects his neighbor of murder while watching from his window.,Alfred Hitchcock,"James Stewart, Grace Kelly",112,8.5
36,Boyhood,2014,Drama,growing-up time family intimate ambitious,"Filmed over twelve years, a boy's life unfolds from childhood to college.",Richard Linklater,"Ellar Coltrane, Patricia Arquette",165,7.9
37,Amadeus,1984,Biography Drama,genius jealousy music rivalry classical,A rival composer becomes consumed by envy of Mozart's effortless genius.,Milos Forman,"F. Murray Abraham, Tom Hulce",160,8.4
38,Children of Men,2006,Sci-Fi Drama,dystopia hope humanity tense atmospheric,"In a future without births, a man must protect a miraculously pregnant woman.",Alfonso Cuaron,"Clive Owen, Julianne Moore",109,7.9
39,Silver Linings Playbook,2012,Romance Comedy,mental-health recovery dance unconventional hopeful,Two people with mental health struggles find unexpected connection through dance.,David O. Russell,"Bradley Cooper, Jennifer Lawrence",122,7.7
40,Once,2007,Music Romance,music street busking tender bittersweet,A busker and an immigrant musician write and record songs over one week in Dublin.,John Carney,"Glen Hansard, Marketa Irglova",86,7.8
41,Drive,2011,Crime Thriller,neon getaway-driver stylish moody atmospheric,A Hollywood stunt driver who moonlights as a getaway driver gets pulled into a dangerous heist.,Nicolas Winding Refn,"Ryan Gosling, Carey Mulligan",100,7.8
42,Fantastic Mr. Fox,2009,Animation Comedy,clever family caper whimsical stylish,"A charming fox can't resist returning to his farm-raiding ways, endangering his family.",Wes Anderson,"George Clooney, Meryl Streep",87,7.9
43,Marriage Story,2019,Drama,divorce family raw emotional intimate,A stage director and his actress wife navigate a painful coast-to-coast divorce.,Noah Baumbach,"Adam Driver, Scarlett Johansson",137,7.9
44,Paddington 2,2017,Family Comedy,kindness feel-good gentle whimsical charming,Paddington sets out to buy a special gift and is framed for a crime he didn't commit.,Paul King,"Ben Whishaw, Hugh Grant",103,7.8
45,Se7en,1995,Crime Thriller,detective dark gritty psychological horrifying,Two detectives hunt a serial killer who uses the seven deadly sins as his motive.,David Fincher,"Brad Pitt, Morgan Freeman",127,8.6
46,500 Days of Summer,2009,Romance Comedy,breakup nonlinear bittersweet relatable indie,"A romantic's relationship with a woman who doesn't believe in true love, told out of order.",Marc Webb,"Joseph Gordon-Levitt, Zooey Deschanel",95,7.7
47,Nightcrawler,2014,Thriller Crime,ambition sleazy tension unsettling drive,"A driven man makes his living filming crime scenes for local news, growing increasingly reckless.",Dan Gilroy,"Jake Gyllenhaal, Rene Russo",117,7.8
48,Howl's Moving Castle,2004,Animation Fantasy,magic curse whimsical adventure heartfelt,A young woman cursed with old age seeks refuge in the moving castle of a wizard.,Hayao Miyazaki,"Chieko Baisho, Takuya Kimura",119,8.2
49,Zodiac,2007,Mystery Crime,obsession investigation slow-burn methodical tense,Investigators and journalists become obsessed with identifying the Zodiac killer.,David Fincher,"Jake Gyllenhaal, Robert Downey Jr.",157,7.7
50,Sing Street,2016,Music Comedy,music teenage dream feel-good nostalgic 80s,A boy in 1980s Dublin starts a band to impress a girl and escape a difficult home life.,John Carney,"Ferdia Walsh-Peelo, Lucy Boynton",106,7.9
51,Inglourious Basterds,2009,War Comedy,revenge stylish tension dark-humor sharp,Jewish-American soldiers and a French cinema owner plot to end WWII in a burst of violence.,Quentin Tarantino,"Brad Pitt, Christoph Waltz",153,8.3
52,A Silent Voice,2016,Animation Drama,bullying redemption forgiveness tender emotional,A former bully seeks redemption by reconnecting with the deaf girl he once tormented.,Naoko Yamada,"Miyu Irino, Saori Hayami",130,8.1
53,Melancholia,2011,Sci-Fi Drama,depression apocalypse slow atmospheric bleak,A woman's crippling depression collides with the arrival of a planet on a collision course with Earth.,Lars von Trier,"Kirsten Dunst, Charlotte Gainsbourg",135,7.1
54,Palm Springs,2020,Comedy Sci-Fi,time-loop wedding absurd romantic light,Two wedding guests get stuck in a time loop and slowly find meaning through the repetition.,Max Barbakow,"Andy Samberg, Cristin Milioti",90,7.4
55,Portrait of a Lady on Fire,2019,Romance Drama,forbidden-love art slow-burn intimate quiet,A painter falls for the woman she has been secretly commissioned to paint in 18th century France.,Celine Sciamma,"Noemie Merlant, Adele Haenel",122,8.1
56,Hunt for the Wilderpeople,2016,Comedy Adventure,wilderness found-family funny heartwarming quirky,A city kid and his gruff foster uncle become the subject of a manhunt after a misunderstanding.,Taika Waititi,"Sam Neill, Julian Dennison",101,7.8
57,The Lighthouse,2019,Horror Drama,isolation madness surreal claustrophobic unsettling,"Two lighthouse keepers descend into madness on a remote, storm-battered island.",Robert Eggers,"Willem Dafoe, Robert Pattinson",109,7.4
58,Frances Ha,2012,Comedy Drama,friendship aimless indie relatable bittersweet,"An aspiring dancer in New York navigates friendship, ambition, and adulthood with humor and heart.",Noah Baumbach,"Greta Gerwig, Mickey Sumner",86,7.4
59,Jojo Rabbit,2019,Comedy Drama,wwii satire coming-of-age heartfelt bold,A lonely German boy whose imaginary friend is Hitler discovers his mother is hiding a Jewish girl.,Taika Waititi,"Roman Griffin Davis, Thomasin McKenzie",108,7.9
60,The Handmaiden,2016,Thriller Romance,twist deception seduction stylish intricate,"A con artist and a thief scheme to swindle a Japanese heiress, with unexpected romantic complications.",Park Chan-wook,"Kim Min-hee, Kim Tae-ri",145,8.1
61,Dead Poets Society,1989,Drama,inspiration poetry mentorship rebellion nostalgic,An English teacher inspires his students to seize the day through poetry and independent thought.,Peter Weir,"Robin Williams, Ethan Hawke",128,8.1
62,Kiki's Delivery Service,1989,Animation Family,growing-up magic gentle whimsical cozy,A young witch moves to a new town and starts a delivery service using her flying broomstick.,Hayao Miyazaki,"Minami Takayama, Kappei Yamaguchi",103,7.8
63,You've Got Mail,1998,Romance Comedy,internet love enemies-to-lovers cozy nostalgic,Business rivals unknowingly fall in love through anonymous online messages.,Nora Ephron,"Tom Hanks, Meg Ryan",119,6.7
64,Prisoners,2013,Thriller Mystery,kidnapping desperation morally-gray tense grim,A father takes matters into his own hands after his daughter is abducted.,Denis Villeneuve,"Hugh Jackman, Jake Gyllenhaal",153,8.1
65,Waking Life,2001,Animation Drama,dreams philosophical surreal introspective existential,A man drifts through a series of philosophical conversations while unsure if he's dreaming.,Richard Linklater,"Wiley Wiggins, Ethan Hawke",99,7.3
66,Crazy Rich Asians,2018,Romance Comedy,wealth family culture-clash glamorous feel-good,"A woman travels to Singapore to meet her boyfriend's family, discovering they're absurdly wealthy.",Jon M. Chu,"Constance Wu, Henry Golding",120,6.9
67,No Country for Old Men,2007,Crime Thriller,violence fate bleak tense morally-complex,A hunter stumbles on a drug deal gone wrong and becomes the target of a relentless killer.,Joel and Ethan Coen,"Tommy Lee Jones, Javier Bardem",122,8.2
68,Paterson,2016,Drama,poetry routine quiet gentle meditative,A bus driver and poet in New Jersey finds meaning in the small rhythms of everyday life.,Jim Jarmusch,"Adam Driver, Golshifteh Farahani",118,7.4
69,Blade Runner,1982,Sci-Fi Neo-noir,identity dystopia atmospheric philosophical classic,"A blade runner hunts down rogue androids in a dystopian, rain-soaked future.",Ridley Scott,"Harrison Ford, Rutger Hauer",117,8.1
70,Little Women,2019,Drama Romance,sisterhood ambition warmth period coming-of-age,"The March sisters navigate love, ambition and independence in Civil War-era Massachusetts.",Greta Gerwig,"Saoirse Ronan, Emma Watson",135,7.8
71,Everything Everywhere All at Once,2022,Sci-Fi Comedy,multiverse family absurd heartfelt chaotic,An overwhelmed laundromat owner discovers she must connect with parallel universe versions of herself.,Daniel Kwan and Daniel Scheinert,"Michelle Yeoh, Ke Huy Quan",139,8.1
72,Call Me by Your Name,2017,Romance Drama,summer first-love tender nostalgic sensual,A summer romance blossoms between a teenager and a visiting graduate student in 1980s Italy.,Luca Guadagnino,"Timothee Chalamet, Armie Hammer",132,7.9
